Province,Formal Workforce,Informal Workforce,Total Workforce,Informal Workforce % of Total Workforce,Informal Workforce > Formal Workforce
Chiang Rai,"80,855","507,372","588,227",86.25,TRUE
Mae Hong Son,"21,112","121,348","142,460",85.18,TRUE
Sakon Nakhon,"66,590","347,529","414,119",83.92,TRUE
Nan,"42,730","206,253","248,983",82.84,TRUE
Bueng Kan,"31,679","146,685","178,364",82.24,TRUE
Yasothon,"51,436","223,236","274,672",81.27,TRUE
Si Sa Ket,"107,667","466,021","573,688",81.23,TRUE
Loei,"53,806","218,405","272,211",80.23,TRUE
Kalasin,"76,691","310,355","387,046",80.19,TRUE
Mukdahan,"48,991","192,648","241,639",79.73,TRUE
Nakhon Phanom,"57,567","210,723","268,290",78.54,TRUE
Buri Ram,"137,232","501,559","638,791",78.52,TRUE
Chaiyaphum,"105,723","375,995","481,718",78.05,TRUE
Ubon Ratchathani,"194,830","686,504","881,334",77.89,TRUE
Kamphaeng Phet,"97,198","342,454","439,652",77.89,TRUE
Amnat Charoen,"33,505","116,571","150,076",77.67,TRUE
Nong Bua Lam Phu,"48,707","162,467","211,174",76.94,TRUE
Udon Thani,"151,836","505,900","657,736",76.92,TRUE
Maha Sarakham,"97,012","322,339","419,351",76.87,TRUE
Roi Et,"130,563","429,910","560,473",76.70,TRUE
Yala,"63,349","198,150","261,499",75.77,TRUE
Khon Kaen,"231,166","711,848","943,014",75.49,TRUE
Uthai Thani,"37,869","109,926","147,795",74.38,TRUE
Sukhothai,"95,588","255,113","350,701",72.74,TRUE
Phichit,"76,274","201,029","277,303",72.49,TRUE
Nong Khai,"63,088","144,666","207,754",69.63,TRUE
Surin,"166,970","374,079","541,049",69.14,TRUE
Phitsanulok,"151,333","330,282","481,615",68.58,TRUE
Tak,"91,817","199,499","291,316",68.48,TRUE
Uttaradit,"65,719","139,888","205,607",68.04,TRUE
Phatthalung,"89,671","187,961","277,632",67.70,TRUE
Nakhon Sawan,"159,311","333,150","492,461",67.65,TRUE
Chumphon,"91,830","191,369","283,199",67.57,TRUE
Suphan Buri,"158,591","320,750","479,341",66.91,TRUE
Nakhon Si Thammarat,"282,086","566,088","848,174",66.74,TRUE
Phayao,"59,484","119,187","178,671",66.71,TRUE
Sa Kaeo,"128,480","246,158","374,638",65.71,TRUE
Chanthaburi,"129,479","241,051","370,530",65.06,TRUE
Phetchabun,"160,806","299,367","460,173",65.06,TRUE
Trang,"130,275","241,416","371,691",64.95,TRUE
Satun,"54,961","97,976","152,937",64.06,TRUE
Ranong,"55,779","96,855","152,634",63.46,TRUE
Lamphun,"83,203","140,939","224,142",62.88,TRUE
Chiang Mai,"389,735","643,981","1,033,716",62.30,TRUE
Krabi,"92,686","148,731","241,417",61.61,TRUE
Chai Nat,"66,344","104,585","170,929",61.19,TRUE
Surat Thani,"258,333","394,407","652,740",60.42,TRUE
Phrae,"79,313","116,218","195,531",59.44,TRUE
Nakhon Ratchasima,"521,244","742,194","1,263,438",58.74,TRUE
Kanchanaburi,"200,905","274,327","475,232",57.72,TRUE
Trat,"72,576","97,804","170,380",57.40,TRUE
Lampang,"153,196","196,262","349,458",56.16,TRUE
Phetchaburi,"130,552","162,564","293,116",55.46,TRUE
Lop Buri,"197,316","244,676","441,992",55.36,TRUE
Songkhla,"426,660","482,071","908,731",53.05,TRUE
Phangnga,"59,796","65,921","125,717",52.44,TRUE
Ratchaburi,"229,251","236,041","465,292",50.73,TRUE
Prachuap Khiri Khan,"139,809","136,854","276,663",49.47,FALSE
Samut Songkhram,"52,115","50,277","102,392",49.10,FALSE
Ang Thong,"65,436","61,071","126,507",48.27,FALSE
Pattani,"182,091","157,884","339,975",46.44,FALSE
Nakhon Nayok,"82,932","67,370","150,302",44.82,FALSE
Sing Buri,"56,434","45,766","102,200",44.78,FALSE
Narathiwat,"191,984","154,669","346,653",44.62,FALSE
Nakhon Pathom,"513,611","364,095","877,706",41.48,FALSE
Saraburi,"263,157","150,147","413,304",36.33,FALSE
Prachin Buri,"252,924","141,236","394,160",35.83,FALSE
Chachoengsao,"366,679","204,127","570,806",35.76,FALSE
Phuket,"231,939","120,348","352,287",34.16,FALSE
Rayong,"466,612","218,135","684,747",31.86,FALSE
Chon Buri,"844,823","362,475","1,207,298",30.02,FALSE
Phra Nakhon Si Ayutthaya,"366,548","154,454","521,002",29.65,FALSE
Pathum Thani,"837,011","351,478","1,188,489",29.57,FALSE
Bangkok Metropolis,"4,185,008","1,505,229","5,690,237",26.45,FALSE
Nonthaburi,"886,911","317,098","1,204,009",26.34,FALSE
Samut Sakhon,"628,517","174,829","803,346",21.76,FALSE
Samut Prakan,"1,194,879","301,007","1,495,886",20.12,FALSE